X,Y,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
1026494.605,265280.0919,Wakefield,1,Wakefield,,,0,Bronx
1031281.314,257852.3577,Co-op City,2,Co-op,City,,0,Bronx
1031861.615,262685.1899,Eastchester,1,Eastchester,,,0,Bronx
1010336.794,265524.0861,Fieldston,1,Fieldston,,,0,Bronx
1008418.989,263845.059,Riverdale,1,Riverdale,,,0,Bronx
1011123.265,260515.2405,Kingsbridge,1,Kingsbridge,,,0,Bronx
1008956.756,258641.4673,Marble Hill,2,Marble,Hill,,0,Manhattan
1020931.582,266570.7917,Woodlawn,1,Woodlawn,,,0,Bronx
1017603.723,258897.168,Norwood,1,Norwood,,,0,Bronx
1023670.015,260296.1373,Williamsbridge,1,Williamsbridge,,,0,Bronx
1029666.196,255140.0127,Baychester,1,Baychester,,,0,Bronx
1024428.365,251689.7185,Pelham Parkway,1,Pelham Parkway,,,0,Bronx
1043321.84,248024.2497,City Island,2,City,Island,,0,Bronx
1015914.229,256330.3158,Bedford Park,2,Bedford,Park,,0,Bronx
1009031.908,251054.6528,University Heights,2,University,Heights,,0,Bronx
1006474.112,248199.7126,Morris Heights,2,Morris,Heights,,0,Bronx
1012899.568,252978.8799,Fordham,1,Fordham,,,0,Bronx
1015417.11,246314.3618,East Tremont,2,East,Tremont,,0,Bronx
1018078.106,245144.3608,West Farms,2,West,Farms,,0,Bronx
1004698.478,244090.2734,High  Bridge,1,Highbridge,,,0,Bronx
1009320.532,237948.7463,Melrose,1,Melrose,,,0,Bronx
1007476.82,233022.6839,Mott Haven,1,Mott Haven,,,0,Bronx
1008275.347,231356.5833,Port Morris,2,Port,Morris,,0,Bronx
1013096.039,236256.8405,Longwood,1,Longwood,,,0,Bronx
1016551.234,234305.0167,Hunts Point,2,Hunts,Point,,0,Bronx
1011509.727,239349.292,Morrisania,1,Morrisania,,,0,Bronx
1021408.448,238422.5314,Soundview,1,Soundview,,,0,Bronx
1024628.371,233158.9848,Clason Point,2,Clason,Point,,0,Bronx
1035084.657,236296.6908,Throgs Neck,1,Throgs Neck,,,0,Bronx
1032918.337,246907.8297,Country Club,2,Country,Club,,0,Bronx
1024094.948,244593.4325,Parkchester,1,Parkchester,,,0,Bronx
1027914.239,245577.0473,Westchester Square,2,Westchester,Square,,0,Bronx
1021242.801,246654.9437,Van Nest,2,Van,Nest,,0,Bronx
1025638.892,248097.7607,Morris Park,1,Morris Park,,,0,Bronx
1015107.155,251626.361,Belmont,1,Belmont,,,0,Bronx
1007149.012,260404.6266,Spuyten Duyvil,2,Spuyten,Duyvil,,0,Bronx
1010639.035,270299.2577,North Riverdale,2,North,Riverdale,,0,Bronx
1030707.479,249233.6079,Pelham Bay,2,Pelham,Bay,,0,Bronx
1032349.112,240470.1487,Schuylerville,1,Schuylerville,,,0,Bronx
1035761.615,238803.6133,Edgewater Park,2,Edgewater,Park,,0,Bronx
1026313.869,237702.6664,Castle Hill,2,Castle,Hill,,0,Bronx
1022050.307,256771.08,Olinville,1,Olinville,,,0,Bronx
1028060.59,253718.8709,Pelham Gardens,2,Pelham,Gardens,,0,Bronx
1007608.288,243240.6438,Concourse,1,Concourse,,,0,Bronx
1025613.017,241621.6973,Unionport,1,Unionport,,,0,Bronx
1026257.112,261583.8483,Edenwald,1,Edenwald,,,0,Bronx
975750.0193,167274.0671,Bay Ridge,1,Bay Ridge,,,0,Brooklyn
985588.2821,161883.4443,Bensonhurst,1,Bensonhurst,,,0,Brooklyn
981387.1642,174304.9467,Sunset Park,2,Sunset,Park,,0,Brooklyn
996932.3641,205311.7902,Greenpoint,1,Greenpoint,,,0,Brooklyn
991617.5738,156146.7977,Gravesend,1,Gravesend,,,0,Brooklyn
993946.5111,149431.2993,Brighton Beach,2,Brighton,Beach,,0,Brooklyn
1000030.047,153101.4379,Sheepshead Bay,2,Sheepshead,Bay,,0,Brooklyn
996066.6607,163133.5891,Manhattan Terrace,2,Manhattan,Terrace,,0,Brooklyn
995795.6032,171109.7986,Flatbush,1,Flatbush,,,0,Brooklyn
999981.1447,183682.652,Crown Heights,2,Crown,Heights,,0,Brooklyn
1001983.022,173077.9315,East Flatbush,1,East Flatbush,,,0,Brooklyn
989683.5439,173314.054,Kensington,1,Kensington,,,0,Brooklyn
